名称,类型,经度,纬度,地址,省份,城市,区县
皖小能汽车充电站(肥西县山南镇龙嘴村村委会慢充),汽车服务;充电站;充电站,116.81833,31.54094,山南镇龙嘴村村民委员会山南镇龙嘴村,安徽省,合肥市,肥西县
安徽交控小井庄服务区电动汽车充电站(枞阳方向),汽车服务;充电站;充电站,116.792223,31.623267,山南镇德上高速合纵段地面停车场,安徽省,合肥市,肥西县
安徽交控小井庄服务区电动汽车充电站(合肥方向),汽车服务;充电站;充电站,116.793681,31.625421,山南镇德上高速合纵段,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县山南镇金牛社区居委会慢充),汽车服务;充电站;充电站,116.79717,31.657913,金牛社区居委会山南镇315省道,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县山南镇三合村村委会慢充),汽车服务;充电站;充电站,116.77398,31.63895,三合村村委会山南镇,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县山南镇陡岗村村委会慢充),汽车服务;充电站;充电站,116.826965,31.576813,山南镇陡岗社区居民委员会056乡道与236省道交叉口东南160米,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县山南镇炉墩村村委会慢充),汽车服务;充电站;充电站,116.800156,31.567385,炉墩村村民委员会山南镇炉墩村,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县山南镇林业村村委会慢充),汽车服务;充电站;充电站,116.802795,31.620197,中共林业村支部委员会山南镇林业村村委会附近,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县铭传乡启明区居委会慢充),汽车服务;充电站;充电站,116.79133,31.721693,铭传乡刘老圩,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县山南镇华山村村委会慢充),汽车服务;充电站;充电站,116.82818,31.655756,山南镇华山村村民委员会山南镇华山村,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县山南镇金圩村村委会慢充),汽车服务;充电站;充电站,116.77911,31.615988,山南镇金圩村党群服务中心,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县山南镇上圩村村委会慢充),汽车服务;充电站;充电站,116.78907,31.684504,山南镇山南镇上村党群服务中心,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县山南镇长庄村太空莲基地慢充),汽车服务;充电站;充电站,116.816696,31.634073,山南镇地面停车场,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县柿树岗乡李嘴村村委会慢充),汽车服务;充电站;充电站,116.846344,31.568375,李嘴村村民委员会人社社保服务窗口(李嘴村党群服务中心)东南侧,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县山南镇兴庄村村委会慢充),汽车服务;充电站;充电站,116.846756,31.623148,山南镇兴庄村村民委员会山南镇兴庄村,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县山南镇新圩村村委会慢充),汽车服务;充电站;充电站,116.787544,31.593147,山南镇新圩村村民委员会S102(阜阳北路),安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县山南镇洪桥村村委会慢充),汽车服务;充电站;充电站,116.83189,31.595985,山南镇洪桥村村民委员会山南镇洪桥村,安徽省,合肥市,肥西县
超翔汽车充电站(庐江县好旺圆大酒店),汽车服务;充电站;充电站,117.44452,31.148321,龙桥镇好旺圆大酒店龙桥大道与滨河路停车场,安徽省,合肥市,庐江县
汽车充电站(闪烁充电矾山文旅综合体站),汽车服务;充电站;充电站,117.424037,31.098348,桥头饭店附近,安徽省,合肥市,庐江县
驴充充汽车充电站(龙桥镇龙桥大道津龙酒店),汽车服务;充电站;充电站,117.444496,31.145594,龙桥大道津龙大酒店内,安徽省,合肥市,庐江县
国家电网汽车充电站(安徽省合肥市庐江县龙桥镇有序交流充电站),汽车服务;充电站;充电站,117.44331,31.14296,裴桂路与龙矾路交口东北350米龙桥供电营业厅院外,安徽省,合肥市,庐江县
国家电网汽车充电站(安徽省合肥市庐江县罗河镇黄龙村停车场交流充电站),汽车服务;充电站;充电站,117.365783,30.985085,232省道与029乡道交叉口东460米(湖光里民宿旁),安徽省,合肥市,庐江县
广州蔚星汽车充电站(新中村部充电站),汽车服务;充电站;充电站,117.43278,31.064383,矾山镇中共矾山镇新中村委员会,安徽省,合肥市,庐江县
驴充充汽车充电站(永安车业),汽车服务;充电站;充电站,117.35803,31.066294,驴充充汽车充电站(杨院子)东北侧150米,安徽省,合肥市,庐江县
汽车充电站(庐江县泥河镇初级中学站),汽车服务;充电站;充电站,117.335818,31.084777,长江路42号,安徽省,合肥市,庐江县
中国石化汽车充电站(合黄充电站),汽车服务;充电站;充电站,117.371315,31.000788,罗河镇中国石化合黄加油站,安徽省,合肥市,庐江县
庐江东服务区汽车充电站,汽车服务;充电站;充电站,117.416252,31.334844,G4221沪武高速入口与庐江东服务区交叉口东北440米,安徽省,合肥市,庐江县
国家电网汽车充电站(安徽省合肥市庐江县独山旅游景区充电站),汽车服务;充电站;充电站,117.372648,31.271458,独山旅游景区管委会东侧280米,安徽省,合肥市,庐江县
庐江东服务区电动汽车充电站,汽车服务;充电站;充电站,117.417208,31.332557,G4221沪武高速入口与庐江东服务区交叉口东440米,安徽省,合肥市,庐江县
云快充汽车充电站(公牛庐江县莲花落友行),汽车服务;充电站;充电站,117.344392,31.286845,巢庐路冶父山莲花落友行青年部落,安徽省,合肥市,庐江县
国家电网汽车充电站(安徽省合肥市庐江县白湖中心有序交流充电站),汽车服务;充电站;充电站,117.39745,31.22128,白湖镇白湖街道白湖供电所院外,安徽省,合肥市,庐江县
国家电网汽车充电站(安徽省合肥市庐江县冶山中心有序交流充电站),汽车服务;充电站;充电站,117.33397,31.27005,冶山镇冶山人民政府西南侧冶山供电所院外,安徽省,合肥市,庐江县
启源充电站(巢庐路充电站),汽车服务;充电站;充电站,117.372214,31.305482,冶山镇巢庐路南,安徽省,合肥市,庐江县
中充服汽车充电站(中充服冶父山居小酒馆服务站),汽车服务;充电站;充电站,117.35267,31.30501,冶父山镇飞鹰石冶父山国家森林公园,安徽省,合肥市,庐江县
中国石化汽车充电站(中垾充电站),汽车服务;充电站;充电站,117.7801,31.65889,105省道中国石化中垾油气合建站,安徽省,合肥市,巢湖市
国家电网汽车充电站(安徽省合肥市巢湖市烔炀镇凤凰村停车场交流充电站),汽车服务;充电站;充电站,117.677058,31.721017,烔炀镇凤凰村停车场,安徽省,合肥市,巢湖市
汽车充电站(中国石化中垾站),汽车服务;充电站;充电站,117.780314,31.659345,中垾镇建华村,安徽省,合肥市,巢湖市
达克云汽车充电站(公牛中垾镇快充站)(内部专用),汽车服务;充电站;充电站,117.765816,31.66176,中垾镇京沪路与迎宾大道交口西南140米中垾小学对面,安徽省,合肥市,巢湖市
国家电网汽车充电站(安徽省合肥市巢湖市中旱镇小姚村有序交流充电站),汽车服务;充电站;充电站,117.73462,31.66279,中旱镇小姚村,安徽省,合肥市,巢湖市
超翔汽车充电站(白山世纪城),汽车服务;充电站;充电站,117.377914,31.465696,白山世纪城,安徽省,合肥市,庐江县
皖小能汽车充电站(肥西县三河镇滨光村民委员会慢充),汽车服务;充电站;充电站,117.342064,31.5424,滨光村村民委员会人社服务窗口(滨光村党群服务中心)东北侧,安徽省,合肥市,肥西县
达克云汽车充电站(公牛槐林镇初级中学超充站),汽车服务;充电站;充电站,117.616974,31.418673,槐林镇石茨河西路与巢庐路交叉口向北150米,安徽省,合肥市,巢湖市
星星充电汽车充电站(星星充电-槐林沐集初级中学),汽车服务;充电站;充电站,117.540184,31.369894,槐林镇兴沐路沐集中心学校,安徽省,合肥市,巢湖市
国家电网汽车充电站(安徽省合肥市庐江县盛桥中心有序交流充电站),汽车服务;充电站;充电站,117.497758,31.393022,盛桥镇G346盛桥供电所院内,安徽省,合肥市,庐江县
国家电网汽车充电站(安徽省合肥市巢湖市槐林有序交流充电站),汽车服务;充电站;充电站,117.62109,31.42036,巢庐路供电所院外,安徽省,合肥市,巢湖市
特来电汽车充电站(安徽合康充电站),汽车服务;充电站;充电站,117.491906,31.353977,盛桥镇中国农业银行(盛桥支行),安徽省,合肥市,庐江县
蔚享天成汽车充电站(盛桥镇佳苑宾馆汽车桩),汽车服务;充电站;充电站,117.4957,31.393764,庐江盛桥镇庐江高申林车站西北方150米处,安徽省,合肥市,庐江县
汽车充电站谷隐渔歌,汽车服务;充电站;充电站,117.528564,31.41854,盛桥镇谷隐渔歌民宿,安徽省,合肥市,庐江县
达克云汽车充电站(公牛槐林镇沐集中心学校快充站),汽车服务;充电站;充电站,117.538261,31.369347,槐林镇明堂路与沐集路交叉口正东方向147米,安徽省,合肥市,巢湖市
云快充汽车充电站(巢湖惠峰村),汽车服务;充电站;充电站,117.603402,31.347554,X068惠峰村委员会旁停车场,安徽省,合肥市,巢湖市
